old_url,old_path,lang,type,title,status,has_meta,new_path,action,priority,notes
"https://prizma-optic.co.il/%d7%9b%d7%9c%d7%9c%d7%99%d7%aa-%d7%a4%d7%9c%d7%98%d7%99%d7%a0%d7%95%d7%9d-%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d/","/%d7%9b%d7%9c%d7%9c%d7%99%d7%aa-%d7%a4%d7%9c%d7%98%d7%99%d7%a0%d7%95%d7%9d-%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d/",he,blog-post,"כללית פלטינום משקפיים – כל מה שצריך לדעת על ההטבות למבוטחי כללית מושלם פלטינום",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%9e%d7%97%d7%99%d7%a8-%d7%a2%d7%93%d7%a9%d7%95%d7%aa-%d7%9e%d7%95%d7%9c%d7%98%d7%99%d7%a4%d7%95%d7%a7%d7%9c-%d7%9c%d7%99%d7%99%d7%a7%d7%94-leica-%d7%97%d7%95%d7%95%d7%99%d7%99%d7%aa-%d7%a8%d7%90/","/%d7%9e%d7%97%d7%99%d7%a8-%d7%a2%d7%93%d7%a9%d7%95%d7%aa-%d7%9e%d7%95%d7%9c%d7%98%d7%99%d7%a4%d7%95%d7%a7%d7%9c-%d7%9c%d7%99%d7%99%d7%a7%d7%94-leica-%d7%97%d7%95%d7%95%d7%99%d7%99%d7%aa-%d7%a8%d7%90/",he,blog-post,"מחיר עדשות מולטיפוקל לייקה Leica   חוויית ראייה בהתאמה אישית מושלמת",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%a2%d7%93%d7%a9%d7%95%d7%aa-%d7%9e%d7%95%d7%9c%d7%98%d7%99%d7%a4%d7%95%d7%a7%d7%9c-%d7%9c%d7%99%d7%99%d7%a7%d7%94-leica-%d7%a4%d7%a1%d7%92%d7%aa-%d7%94%d7%98%d7%9b%d7%a0%d7%95%d7%9c%d7%95%d7%92/","/%d7%a2%d7%93%d7%a9%d7%95%d7%aa-%d7%9e%d7%95%d7%9c%d7%98%d7%99%d7%a4%d7%95%d7%a7%d7%9c-%d7%9c%d7%99%d7%99%d7%a7%d7%94-leica-%d7%a4%d7%a1%d7%92%d7%aa-%d7%94%d7%98%d7%9b%d7%a0%d7%95%d7%9c%d7%95%d7%92/",he,blog-post,"עדשות מולטיפוקל לייקה LEICA   פסגת הטכנולוגיה",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%9e%d7%a0%d7%99%d7%a2%d7%aa-%d7%a7%d7%95%d7%a6%d7%a8-%d7%a8%d7%90%d7%99%d7%99%d7%94-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d/","/%d7%9e%d7%a0%d7%99%d7%a2%d7%aa-%d7%a7%d7%95%d7%a6%d7%a8-%d7%a8%d7%90%d7%99%d7%99%d7%94-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d/",he,blog-post,"מניעת קוצר ראייה לילדים מתחילה בבדיקה מוקדמת וטיפול מותאם אישית",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%94%d7%90%d7%98%d7%aa-%d7%a7%d7%95%d7%a6%d7%a8-%d7%a8%d7%90%d7%99%d7%99%d7%94-%d7%90%d7%a6%d7%9c-%d7%99%d7%9c%d7%93%d7%99%d7%9d/","/%d7%94%d7%90%d7%98%d7%aa-%d7%a7%d7%95%d7%a6%d7%a8-%d7%a8%d7%90%d7%99%d7%99%d7%94-%d7%90%d7%a6%d7%9c-%d7%99%d7%9c%d7%93%d7%99%d7%9d/",he,blog-post,"עדשות להאטת קוצר ראייה אצל ילדים",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%a2%d7%93%d7%a9%d7%95%d7%aa-%d7%9c%d7%9e%d7%a0%d7%99%d7%a2%d7%aa-%d7%94%d7%97%d7%9e%d7%a8%d7%aa-%d7%9e%d7%99%d7%95%d7%a4%d7%99%d7%94/","/%d7%a2%d7%93%d7%a9%d7%95%d7%aa-%d7%9c%d7%9e%d7%a0%d7%99%d7%a2%d7%aa-%d7%94%d7%97%d7%9e%d7%a8%d7%aa-%d7%9e%d7%99%d7%95%d7%a4%d7%99%d7%94/",he,blog-post,"עדשות למניעת החמרת מיופיה – הפתרון למניעת הידרדרות הראייה אצל ילדים",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d-%d7%a2%d7%93-%d7%94%d7%91%d7%99%d7%aa-%d7%9e%d7%94%d7%a4%d7%9b%d7%aa-%d7%94%d7%90%d7%95%d7%a4%d7%98%d7%99%d7%a7%d7%94/","/%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d-%d7%a2%d7%93-%d7%94%d7%91%d7%99%d7%aa-%d7%9e%d7%94%d7%a4%d7%9b%d7%aa-%d7%94%d7%90%d7%95%d7%a4%d7%98%d7%99%d7%a7%d7%94/",he,blog-post,"משקפיים עד הבית – מהפכת האופטיקה",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%a9%d7%99%d7%a8%d7%95%d7%aa-%d7%90%d7%95%d7%a4%d7%98%d7%99%d7%a7%d7%94-%d7%a2%d7%93-%d7%94%d7%91%d7%99%d7%aa/","/%d7%a9%d7%99%d7%a8%d7%95%d7%aa-%d7%90%d7%95%d7%a4%d7%98%d7%99%d7%a7%d7%94-%d7%a2%d7%93-%d7%94%d7%91%d7%99%d7%aa/",he,blog-post,"שירות אופטיקה עד הבית- מהפכת האופטיקה",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%91%d7%97%d7%99%d7%a8%d7%aa-%d7%9e%d7%a9%d7%a7%d7%a4%d7%99-%d7%9e%d7%95%d7%9c%d7%98%d7%99%d7%a4%d7%95%d7%a7%d7%9c/","/%d7%91%d7%97%d7%99%d7%a8%d7%aa-%d7%9e%d7%a9%d7%a7%d7%a4%d7%99-%d7%9e%d7%95%d7%9c%d7%98%d7%99%d7%a4%d7%95%d7%a7%d7%9c/",he,blog-post,"בחירת משקפי מולטיפוקל – האם שווה להשקיע? מה שצריך לדעת לפני שקונים",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%9e%d7%a9%d7%a7%d7%a4%d7%99-%d7%9e%d7%95%d7%9c%d7%98%d7%99%d7%a4%d7%95%d7%a7%d7%9c-%d7%91%d7%94%d7%aa%d7%90%d7%9e%d7%94-%d7%90%d7%99%d7%a9%d7%99%d7%aa/","/%d7%9e%d7%a9%d7%a7%d7%a4%d7%99-%d7%9e%d7%95%d7%9c%d7%98%d7%99%d7%a4%d7%95%d7%a7%d7%9c-%d7%91%d7%94%d7%aa%d7%90%d7%9e%d7%94-%d7%90%d7%99%d7%a9%d7%99%d7%aa/",he,blog-post,"משקפי מולטיפוקל בהתאמה אישית- הפתרון לראייה בכל המרחקים",publish,yes,,pending,medium,
