source_url,target_url,match_type,action_type,action_code
/%d1%81%d0%ba%d0%be%d0%bb%d1%8c%d0%ba%d0%be-%d1%81%d1%82%d0%be%d1%8f%d1%82-%d0%bc%d1%83%d0%bb%d1%8c%d1%82%d0%b8%d1%84%d0%be%d0%ba%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b5-%d0%be%d1%87%d0%ba%d0%b8-%d0%b8/,https://www.prizma-optic.co.il/ru/%D1%81%D0%BA%D0%BE%D0%BB%D1%8C%D0%BA%D0%BE-%D1%81%D1%82%D0%BE%D1%8F%D1%82-%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D0%B8%D1%84%D0%BE%D0%BA%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D0%BE%D1%87%D0%BA%D0%B8-%D0%B8/,url,url,301
/%d1%87%d1%82%d0%be-%d1%82%d0%b0%d0%ba%d0%be%d0%b5-%d0%bc%d1%83%d0%bb%d1%8c%d1%82%d0%b8%d1%84%d0%be%d0%ba%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b5-%d0%bb%d0%b8%d0%bd%d0%b7%d1%8b-%d0%b8-%d0%b7%d0%b0%d1%87/,https://www.prizma-optic.co.il/ru/%D1%87%D1%82%D0%BE-%D1%82%D0%B0%D0%BA%D0%BE%D0%B5-%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D0%B8%D1%84%D0%BE%D0%BA%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D0%BB%D0%B8%D0%BD%D0%B7%D1%8B-%D0%B8-%D0%B7%D0%B0%D1%87/,url,url,301
/%d1%86%d0%b5%d0%bd%d0%b0-%d0%bc%d1%83%d0%bb%d1%8c%d1%82%d0%b8%d1%84%d0%be%d0%ba%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d1%85-%d0%bb%d0%b8%d0%bd%d0%b7-rodenstock-%d0%be%d0%b1%d0%b7%d0%be%d1%80-%d0%bc/,https://www.prizma-optic.co.il/ru/%D1%86%D0%B5%D0%BD%D0%B0-%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D0%B8%D1%84%D0%BE%D0%BA%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85-%D0%BB%D0%B8%D0%BD%D0%B7-rodenstock-%D0%BE%D0%B1%D0%B7%D0%BE%D1%80-%D0%BC/,url,url,301
/%d1%86%d0%b5%d0%bd%d0%b0-%d0%bc%d1%83%d0%bb%d1%8c%d1%82%d0%b8%d1%84%d0%be%d0%ba%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d1%85-%d0%bb%d0%b8%d0%bd%d0%b7-shamir-%d0%b8%d0%bd%d0%bd%d0%be%d0%b2%d0%b0%d1%86/,https://www.prizma-optic.co.il/ru/%D1%86%D0%B5%D0%BD%D0%B0-%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D0%B8%D1%84%D0%BE%D0%BA%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85-%D0%BB%D0%B8%D0%BD%D0%B7-shamir-%D0%B8%D0%BD%D0%BD%D0%BE%D0%B2%D0%B0%D1%86/,url,url,301
/%d1%81%d0%ba%d0%be%d0%bb%d1%8c%d0%ba%d0%be-%d1%81%d1%82%d0%be%d1%8f%d1%82-%d0%bc%d1%83%d0%bb%d1%8c%d1%82%d0%b8%d1%84%d0%be%d0%ba%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b5-%d0%bb%d0%b8%d0%bd%d0%b7%d1%8b/,https://www.prizma-optic.co.il/ru/%D1%81%D0%BA%D0%BE%D0%BB%D1%8C%D0%BA%D0%BE-%D1%81%D1%82%D0%BE%D1%8F%D1%82-%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D0%B8%D1%84%D0%BE%D0%BA%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D0%BB%D0%B8%D0%BD%D0%B7%D1%8B/,url,url,301
/%d1%86%d0%b5%d0%bd%d0%b0-%d0%bc%d1%83%d0%bb%d1%8c%d1%82%d0%b8%d1%84%d0%be%d0%ba%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d1%85-%d0%bb%d0%b8%d0%bd%d0%b7-hoya-%d0%b2%d0%b8%d0%b4%d1%8b-%d0%b8-%d0%bf%d1%80/,https://www.prizma-optic.co.il/ru/%D1%86%D0%B5%D0%BD%D0%B0-%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D0%B8%D1%84%D0%BE%D0%BA%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85-%D0%BB%D0%B8%D0%BD%D0%B7-hoya-%D0%B2%D0%B8%D0%B4%D1%8B-%D0%B8-%D0%BF%D1%80/,url,url,301
/%d1%86%d0%b5%d0%bd%d0%b0-%d0%bc%d1%83%d0%bb%d1%8c%d1%82%d0%b8%d1%84%d0%be%d0%ba%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d1%85-%d0%bb%d0%b8%d0%bd%d0%b7-optimize-%d0%b2%d0%b8%d0%b4%d1%8b-%d0%b8-%d0%bf/,https://www.prizma-optic.co.il/ru/%D1%86%D0%B5%D0%BD%D0%B0-%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D0%B8%D1%84%D0%BE%D0%BA%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85-%D0%BB%D0%B8%D0%BD%D0%B7-optimize-%D0%B2%D0%B8%D0%B4%D1%8B-%D0%B8-%D0%BF/,url,url,301
/%d1%86%d0%b5%d0%bd%d0%b0-%d0%bc%d1%83%d0%bb%d1%8c%d1%82%d0%b8%d1%84%d0%be%d0%ba%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d1%85-%d0%bb%d0%b8%d0%bd%d0%b7-zeiss-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%be%d0%b2/,https://www.prizma-optic.co.il/ru/%D1%86%D0%B5%D0%BD%D0%B0-%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D0%B8%D1%84%D0%BE%D0%BA%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85-%D0%BB%D0%B8%D0%BD%D0%B7-zeiss-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%BE%D0%B2/,url,url,301
/%d7%91%d7%a2%d7%99%d7%a0%d7%99%d7%99%d7%9d-%d7%91%d7%95%d7%a8%d7%a7%d7%95%d7%aa-%d7%90%d7%99%d7%9a-%d7%a1%d7%92%d7%a0%d7%95%d7%9f-%d7%97%d7%99%d7%99%d7%9d-%d7%9e%d7%a9%d7%a4%d7%99%d7%a2-%d7%a2%d7%9c-2/,https://www.prizma-optic.co.il/ru/%D1%81%D0%B8%D1%8F%D1%8E%D1%89%D0%B8%D0%BC%D0%B8-%D0%B3%D0%BB%D0%B0%D0%B7%D0%B0%D0%BC%D0%B8-%D0%BA%D0%B0%D0%BA-%D0%BE%D0%B1%D1%80%D0%B0%D0%B7-%D0%B6%D0%B8%D0%B7%D0%BD%D0%B8-%D0%B2%D0%BB%D0%B8%D1%8F%D0%B5%D1%82-%D0%BD%D0%B0-%D0%BA%D0%B0%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE-%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D1%8F-%D0%B8-%D0%B7%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D1%8C%D0%B5-%D0%B3%D0%BB%D0%B0%D0%B7/,url,url,301
/%d7%a2%d7%99%d7%a0%d7%99%d7%99%d7%9d-%d7%91%d7%95%d7%94%d7%a7%d7%95%d7%aa-%d7%91%d7%a2%d7%99%d7%93%d7%9f-%d7%94%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99-%d7%98%d7%9b%d7%a0%d7%95%d7%9c%d7%95%d7%92-2/,https://www.prizma-optic.co.il/ru/%D1%83%D1%81%D1%82%D0%B0%D0%BB%D1%8B%D0%B5-%D0%B3%D0%BB%D0%B0%D0%B7%D0%B0-%D0%B2-%D1%86%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D1%83%D1%8E-%D1%8D%D0%BF%D0%BE%D1%85%D1%83-%D1%81%D0%B8%D0%BD%D0%B8%D0%B9-%D1%81%D0%B2%D0%B5%D1%82-%D0%B8-%D0%B7%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D1%8C%D0%B5-%D0%B3%D0%BB%D0%B0%D0%B7/,url,url,301
